hours_requested,run_time,forecast_time,irradiance_column_used,irradiance_Wm2,area_m2,eta_stc,gamma_per_C,NOCT_C,T_ambient_C,T_cell_C,eta_temp_adj,PR,P_out_kW,EGR_kWh
9,2026-01-19T11:52:47+01:00,2026-01-20T08:00,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:01,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:02,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:03,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:04,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:05,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:06,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:07,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:08,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:09,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:10,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:11,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:12,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:13,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:14,shortwave_radiation,0,40,0.17,-0.004,45,-0.6,-0.6,0.18741,0.86,0,0
9,2026-01-19T11:52:47+01:00,2026-01-20T08:15,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:16,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:17,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:18,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:19,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:20,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:21,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:22,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:23,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
9,2026-01-19T11:52:47+01:00,2026-01-20T08:24,shortwave_radiation,3,40,0.17,-0.004,45,-0.6,-0.51,0.18734,0.86,0.019334,0.00032223
