generation,population_size,nondominated_count,minimum_energy,minimum_emission,maximum_outputs,median_energy,median_emission,median_outputs
1,80,58,2417.394900957848,1246.179605707613,77.6,3582.814782815023,2431.5447325986124,63.0
2,80,80,2266.780816942636,1246.179605707613,77.6,3516.4916140961004,2242.1636154976004,61.1
3,80,80,2248.0659224112833,1246.179605707613,77.6,3462.160718327764,2174.7888000428748,60.400000000000006
4,80,80,2248.0659224112833,1246.179605707613,77.6,3474.857659989736,2261.912453278026,61.2
5,80,80,2198.571328117896,1218.7656119066246,77.6,3357.1054708689417,2182.1864744998074,59.2
6,80,80,2189.2216597573906,1113.49421804237,77.6,3501.388647643743,2238.674589540658,62.5
7,80,80,2187.220230062725,1113.49421804237,77.6,3537.2501632703706,2103.0098987289243,60.7
8,80,80,2187.220230062725,1113.49421804237,78.8,3565.552147034815,2152.7169850202686,61.3
9,80,80,2187.220230062725,1113.49421804237,78.8,3442.88653640257,2108.699462452074,59.4
10,80,80,2187.220230062725,1113.49421804237,78.8,3485.2510101464613,2187.1627992029203,60.3
11,80,80,2187.220230062725,1074.475768225811,78.8,3489.8938057046144,2210.7729100290044,60.2
12,80,80,2186.398020517788,1074.475768225811,78.8,3468.645462354678,2157.3773737271085,59.3
13,80,80,2186.398020517788,1074.475768225811,78.8,3514.073638084215,2188.620593611856,61.2
14,80,80,2179.440387603764,1074.475768225811,78.8,3374.5331045676735,2120.6134437295386,59.0
15,80,80,2174.765019093412,1074.475768225811,78.8,3433.2114858261766,2127.957845578063,60.3
16,80,80,2172.9581318411883,1074.475768225811,78.8,3462.5971696336856,2223.371641573174,60.0
17,80,80,2172.9581318411883,1074.475768225811,79.6,3480.325279160325,2192.8615515021206,60.5
18,80,80,2172.9581318411883,1074.475768225811,79.6,3436.140073440204,2221.972372898368,60.3
19,80,80,2171.537258683642,1074.475768225811,79.6,3498.454263146522,2258.555849188735,61.2
20,80,80,2171.537258683642,1074.475768225811,79.6,3423.1604963393975,2258.555849188735,59.900000000000006
