Time_Stamp,Robot1__Grid,MAG1__Emission,MAG1__Grid,ReMAG__Emission,ReMAG__Grid,MAG2__Emission,MAG2__Grid,Robot2__Grid,Robot2_ready__Grid,MAG1_ready__Grid,Robot1_ready__Grid,MAG2_ready__Grid,ReMAG_ready__Grid,Robot1_Idle_to_ShutDown__Grid,Robot1_Restart_to_Idle__Grid,Robot2_Idle_to_ShutDown__Grid,Robot2_Restart_to_Idle__Grid,MAG1_Idle_to_ShutDown__Grid,MAG1_Restart_to_Idle__Grid,MAG2_Idle_to_ShutDown__Grid,MAG2_Restart_to_Idle__Grid,ReMAG_Idle_to_ShutDown__Grid,ReMAG_Restart_to_Idle__Grid
480.0,131.28,2146.15,1716.92,202.04,184.72,519.0,1405.63,198.84,1.44,0.0,1.03,10.31,1.52,2.8,2.8,8.25,8.25,6.0,12.0,24.75,71.5,18.5,12.8
480.0,125.65,1772.01,1417.61,361.93,330.91,508.99,1378.5,164.22,2.99,0.41,0.62,7.68,0.45,3.33,3.2,12.0,11.25,9.0,24.0,31.5,91.0,25.9,19.2
480.0,167.14,1824.36,1459.48,395.89,361.95,702.18,1901.74,174.81,2.1,1.94,0.0,6.35,4.28,2.0,2.0,11.05,10.5,9.0,24.0,22.5,65.0,22.2,19.2
480.0,160.33,1294.88,1035.91,282.58,258.36,717.62,1943.57,146.41,3.39,0.37,0.67,8.99,2.14,1.6,1.6,11.58,11.25,15.0,40.0,24.75,65.0,22.2,16.0
480.0,130.48,1577.99,1262.39,403.02,368.48,742.49,2010.91,200.04,2.83,4.15,1.32,5.82,1.8,2.8,2.8,10.92,10.5,13.5,36.0,18.0,45.5,33.3,25.6
480.0,131.28,2146.15,1716.92,202.04,184.72,519.0,1405.63,198.84,1.44,0.0,1.03,10.31,1.52,2.8,2.8,8.25,8.25,6.0,12.0,24.75,71.5,18.5,12.8
480.0,125.65,1772.01,1417.61,361.93,330.91,508.99,1378.5,164.22,2.99,0.41,0.62,7.68,0.45,3.33,3.2,12.0,11.25,9.0,24.0,31.5,91.0,25.9,19.2
480.0,167.14,1824.36,1459.48,395.89,361.95,702.18,1901.74,174.81,2.1,1.94,0.0,6.35,4.28,2.0,2.0,11.05,10.5,9.0,24.0,22.5,65.0,22.2,19.2
480.0,160.33,1294.88,1035.91,282.58,258.36,717.62,1943.57,146.41,3.39,0.37,0.67,8.99,2.14,1.6,1.6,11.58,11.25,15.0,40.0,24.75,65.0,22.2,16.0
480.0,130.48,1577.99,1262.39,403.02,368.48,742.49,2010.91,200.04,2.83,4.15,1.32,5.82,1.8,2.8,2.8,10.92,10.5,13.5,36.0,18.0,45.5,33.3,25.6
480.0,136.11,2031.33,1625.06,209.28,191.34,633.12,1714.7,223.16,9.89,1.55,0.28,13.74,2.05,2.81,4.4,8.81,3.0,5.46,32.0,35.21,65.0,30.59,12.8
480.0,102.81,1920.47,1536.37,203.05,185.64,584.16,1582.1,242.62,16.16,0.28,0.63,17.97,0.0,2.04,3.2,4.5,1.5,4.09,24.0,35.21,65.0,45.88,16.0
480.0,147.56,1946.53,1557.23,121.73,111.29,540.81,1464.68,174.04,11.22,0.39,0.36,21.46,0.0,1.53,2.4,11.02,3.0,4.09,24.0,31.69,52.0,30.59,9.6
480.0,159.55,1778.57,1422.85,244.32,223.37,652.29,1766.63,184.73,8.8,0.39,0.22,19.46,6.86,1.28,2.0,13.22,4.5,4.77,28.0,24.65,45.5,38.24,12.8
480.0,104.39,1576.04,1260.84,320.48,293.01,622.5,1685.95,215.65,15.62,1.9,0.15,15.67,13.5,3.07,4.8,6.61,2.25,5.46,32.0,24.65,45.5,45.88,16.0
480.0,121.44,0.0,0.0,254.47,232.66,1115.57,3021.34,233.21,12.6,0.0,5.63,0.0,7.13,5.78,1.6,5.93,1.5,1.71,0.0,5.84,6.5,51.52,16.0
480.0,87.0,47.03,37.62,425.9,389.4,1079.59,2923.89,247.13,9.15,0.0,3.88,0.0,17.25,5.9,2.0,8.83,2.25,3.41,4.0,5.84,6.5,72.12,22.4
480.0,94.77,0.0,0.0,323.36,295.65,1074.03,2908.84,259.94,14.94,0.0,4.53,1.18,1.56,8.16,2.4,2.87,0.75,1.71,0.0,5.84,6.5,61.82,16.0
480.0,72.24,0.0,0.0,80.46,73.56,1116.99,3025.17,264.49,7.81,0.0,4.89,6.56,0.0,9.11,2.8,11.35,2.25,1.71,0.0,0.0,0.0,30.91,6.4
480.0,80.29,0.0,0.0,374.09,342.02,1095.26,2966.32,265.42,18.92,0.0,3.69,10.64,0.0,9.44,2.8,0.0,0.0,1.71,0.0,0.0,0.0,92.73,28.8
480.0,131.28,2306.86,1845.49,201.16,183.92,236.07,639.36,238.66,2.53,0.89,5.71,19.6,0.0,4.67,1.2,8.95,7.5,1.88,4.0,64.2,45.5,51.96,16.0
480.0,108.31,2166.35,1733.08,211.88,193.72,357.35,967.82,232.84,3.62,0.0,6.48,26.12,0.0,6.23,1.6,8.06,6.75,3.77,8.0,58.04,45.5,51.96,19.2
480.0,125.63,2215.17,1772.14,344.45,314.92,361.22,978.3,222.55,3.65,2.28,8.82,34.86,4.86,3.12,0.4,8.95,7.5,1.88,4.0,52.75,39.0,43.3,16.0
480.0,126.81,2184.24,1747.39,120.17,109.87,335.28,908.06,167.75,6.24,2.39,6.09,28.5,0.0,4.67,1.2,9.53,7.5,3.77,8.0,48.15,39.0,34.64,9.6
480.0,124.81,2295.2,1836.16,268.92,245.87,378.95,1026.32,213.64,3.89,0.0,7.35,29.85,6.21,6.02,1.2,11.64,9.75,3.77,8.0,48.58,39.0,43.3,16.0
480.0,188.53,471.4,377.12,283.04,258.78,785.87,2128.39,24.4,0.0,0.0,0.0,8.56,4.53,0.05,0.4,12.73,3.75,20.21,32.0,13.08,104.0,51.37,16.0
480.0,182.7,479.75,383.8,304.79,278.66,760.51,2059.71,24.75,0.0,0.0,0.0,8.73,15.76,0.05,0.4,10.6,3.0,20.21,36.0,13.33,104.0,48.87,16.0
480.0,182.29,571.26,457.01,363.07,331.95,703.61,1905.62,19.55,0.07,0.35,0.0,8.46,4.58,0.1,0.8,8.48,2.25,25.05,44.0,15.54,123.5,68.42,19.2
480.0,185.54,564.69,451.75,159.27,145.62,803.34,2175.72,43.84,2.69,2.09,0.0,6.06,0.0,0.05,0.4,12.73,3.75,26.95,44.0,16.35,130.0,48.87,12.8
480.0,186.42,474.32,379.46,322.27,294.65,773.25,2094.21,24.45,0.0,0.0,0.0,7.32,4.53,0.1,0.8,12.73,3.75,20.21,32.0,14.72,111.52,78.2,22.4
480.0,171.9,2006.26,1605.01,162.18,148.28,323.23,875.43,78.63,0.24,14.28,2.11,14.68,0.0,1.01,0.4,10.73,8.25,8.9,8.0,67.52,65.0,16.18,12.8
480.0,182.7,1743.19,1394.55,158.24,144.68,431.61,1168.94,68.53,0.77,23.53,0.0,32.17,0.0,1.01,0.4,8.94,7.5,8.9,8.0,52.0,45.5,16.18,12.8
480.0,182.49,1757.79,1406.23,121.69,111.26,252.65,684.25,19.67,0.0,11.08,0.31,14.32,0.0,1.01,0.4,4.47,3.0,13.35,12.0,58.5,52.0,12.95,9.6
480.0,175.32,1704.02,1363.21,200.43,183.25,360.81,977.19,53.92,1.31,6.02,0.0,40.27,0.0,2.02,0.8,6.26,4.5,22.25,20.0,43.85,39.0,19.42,16.0
