Time_Stamp,Input__NewOrder,Output__MAG1 Completed,Output__MAG2 Completed,Output__ReWork Completed,Emission,Grid
480.0,78.0,42.0,26.0,5.0,2867.19,3819.35
480.0,67.0,31.0,25.0,9.0,2642.93,3659.43
480.0,80.0,35.0,31.0,9.0,2922.42,4267.24
480.0,75.0,26.0,34.0,7.0,2295.09,3769.11
480.0,76.0,26.0,38.0,10.0,2723.5,4187.14
480.0,78.0,42.0,26.0,5.0,2867.19,3819.35
480.0,67.0,31.0,25.0,9.0,2642.93,3659.43
480.0,80.0,35.0,31.0,9.0,2922.42,4267.24
480.0,75.0,26.0,34.0,7.0,2295.09,3769.11
480.0,76.0,26.0,38.0,10.0,2723.5,4187.14
480.0,85.0,40.0,31.0,5.0,2873.73,4117.97
480.0,78.0,39.0,28.0,5.0,2707.67,3886.0
480.0,75.0,39.0,28.0,3.0,2609.06,3658.16
480.0,86.0,34.0,33.0,6.0,2675.18,3967.83
480.0,73.0,32.0,27.0,8.0,2519.03,3792.89
480.0,80.0,0.0,54.0,6.0,1370.04,3730.37
480.0,74.0,1.0,48.0,10.0,1552.52,3848.58
480.0,79.0,0.0,51.0,8.0,1397.4,3687.46
480.0,73.0,0.0,60.0,2.0,1197.44,3519.26
480.0,77.0,0.0,50.0,9.0,1469.34,3822.78
480.0,86.0,46.0,10.0,5.0,2744.09,3273.3
480.0,77.0,44.0,15.0,5.0,2735.59,3481.09
480.0,81.0,41.0,16.0,8.0,2920.84,3644.91
480.0,71.0,45.0,16.0,3.0,2639.7,3269.16
480.0,78.0,44.0,18.0,6.0,2943.07,3681.37
480.0,78.0,10.0,36.0,7.0,1540.3,3243.89
480.0,71.0,10.0,34.0,7.0,1545.05,3206.58
480.0,82.0,12.0,30.0,9.0,1637.95,3217.23
480.0,73.0,10.0,42.0,4.0,1527.31,3309.22
480.0,69.0,9.0,36.0,8.0,1569.84,3287.46
480.0,72.0,39.0,17.0,4.0,2491.68,3109.35
480.0,72.0,34.0,22.0,4.0,2333.04,3177.1
480.0,76.0,36.0,12.0,3.0,2132.13,2596.89
480.0,74.0,34.0,16.0,5.0,2265.26,2974.6
480.0,80.0,39.0,23.0,3.0,2482.01,3336.86
480.0,74.0,45.0,8.0,5.0,2658.65,3065.46
480.0,66.0,45.0,4.0,4.0,2516.32,2731.75
480.0,78.0,43.0,9.0,4.0,2538.46,2951.66
480.0,92.0,45.0,14.0,4.0,2719.77,3292.56
480.0,69.0,45.0,8.0,7.0,2854.78,3309.84
480.0,83.0,12.0,38.0,6.0,1670.9,3251.9
480.0,86.0,17.0,37.0,4.0,1769.81,3237.7
480.0,82.0,22.0,22.0,6.0,1835.4,2937.87
480.0,78.0,8.0,37.0,12.0,1824.63,3609.96
480.0,77.0,13.0,35.0,8.0,1782.73,3320.05
480.0,79.0,45.0,14.0,2.0,2549.02,2995.77
480.0,69.0,38.0,16.0,5.0,2530.43,3057.07
480.0,81.0,38.0,18.0,7.0,2716.94,3352.04
480.0,78.0,47.0,13.0,1.0,2560.67,2919.34
480.0,74.0,35.0,24.0,3.0,2334.97,3233.51
480.0,73.0,29.0,18.0,4.0,1979.43,2743.9
480.0,74.0,29.0,17.0,2.0,1832.5,2528.08
480.0,83.0,26.0,16.0,6.0,1961.7,2692.3
480.0,68.0,27.0,16.0,7.0,2236.6,2889.93
480.0,67.0,29.0,17.0,2.0,1827.43,2538.12
480.0,79.0,4.0,51.0,9.0,1726.95,4008.16
480.0,77.0,5.0,47.0,13.0,1926.06,4135.72
480.0,73.0,7.0,43.0,14.0,2009.75,4097.68
480.0,75.0,6.0,55.0,8.0,1769.54,4029.0
